movie,character_name,line_num,line
American Psycho,Bateman,0," we're sitting in pastels, this nouvelle northern california  place on the upper east side."
American Psycho,Bateman,1,"  you'll notice that my friends and i all look and behave in  a remarkably similar fashion, but there are subtle differences  between us. mcdermott is the biggest asshole. van  patten is the yes man. price is the most wired. i'm the  best looking. we all have light tans. right now i'm in a  bad mood because this is not a good table, and van patten  keeps asking dumb, obvious questions about how to dress ."
American Psycho,Bateman,2,or can it be worn with a suit?
American Psycho,Bateman,3,with discreet pinstripes you should wear a subdued blue or  charcoal gray vest. a plaid suit would cal i for a bolder  vest.
American Psycho,Bateman,4,van patten looks puffy. has he stopped working out?
American Psycho,Bateman,5,that's not paul owen. paul owen's on the other side of the room. over there.
American Psycho,Bateman,6,"oh jesus, mcdermott, what does that have to do with  anything?"
American Psycho,Bateman,7,"you spin a dreidel, mcdermott, not a menorah.  you spin a dreidel."
American Psycho,Bateman,8,no. just cool it with the anti-semitic remarks.
American Psycho,Bateman,9,"whoa, wait. may i ask where pamela is during all  this?"
American Psycho,Bateman,10,"i'm not sure, guy, but i don't think dyslexia is a  virus."
American Psycho,Bateman,11,maybe it's just the light.
American Psycho,Bateman,12,what?
American Psycho,Bateman,13,it's definitely weak but i have a feeling if we do  enough of it we'll be okay.
American Psycho,Bateman,14,calm down. let's do it anyway
American Psycho,Bateman,15,that's the spirit.
American Psycho,Bateman,16, two stoli on the rocks.
American Psycho,Bateman,17,"  my name is patrick bateman. i am  twenty-six years old. i live in the american garden  buildings on west eighty-first street, on the eleventh  floor tom cruise lives in the penthouse."
American Psycho,Bateman,18," i believe in taking care of myself, in a  balanced diet, in a rigorous exercise routine. in the  morning, if my face is a little puffy, i'll put on an ice  pack while doing my stomach crunches. i can do a thousand  now."
American Psycho,Bateman,19,"  after i remove the icepack, i use a deep  pore-cleanser lotion. in the shower, i use a  water-activated gel cleanser, then a honey-almond body  scrub, and on the face an exfoliating gel scrub."
American Psycho,Bateman,20,  then i apply an herb mint facial masque which  i leave on for ten minutes while i prepare the rest of my  routine.
American Psycho,Bateman,21," i always use an after-shave lotion with little  or no alcohol because alcohol dries your face out and makes  you look older. then moisturizer, then an anti-aging eye  balm, followed by a final moisturizing ""protective"" lotion..."
American Psycho,Bateman,22,"  there is an idea of a patrick bateman, some  kind of abstraction, hut there is no real me, only an  entity, something illusory, and though i can hide my cold  gaze and you can shake my hand and feel flesh gripping you  and maybe you can even sense our lifestyles are probably  comparable: i simply am not there."
American Psycho,Bateman,23,"  it is hard for me to make sense on any given  level. my self is fabricated, an aberration. my personality  is sketchy and unformed, my heartlessness goes deep and is  persistent."
American Psycho,Bateman,24,"  my conscience, my pity, my hopes disappeared  a long time ago, if they ever did exist."
American Psycho,Bateman,25,aerobics class. sorry. any messages?
American Psycho,Bateman,26,i occasionally box with ricky at the harvard club.  anyone else?
American Psycho,Bateman,27,when?
American Psycho,Bateman,28,negative. cancel it.
American Psycho,Bateman,29,just...say...no.
American Psycho,Bateman,30,"okay, jean. i need reservations for three at camols  at twelve-thirty, and if not there, try crayons. all  right?"
American Psycho,Bateman,31,oh wait. and i need reservations for two at arcadia at eight  tonight.
American Psycho,Bateman,32,"no, silly. forget it. i'll make them. thanks."
American Psycho,Bateman,33,"no. no. be a doll and just get me a perrier, okay?"
American Psycho,Bateman,34,is that the ransom file? thanks. don't wear that  outfit again.
American Psycho,Bateman,35,"i said ""do not wear that outfit again."" wear a  dress. a skirt or something."
American Psycho,Bateman,36,"come on, you're prettier than that."
American Psycho,Bateman,37,i'm not here. and high heels. i like high heels.
American Psycho,Bateman,38,  i'm trying to listen to the new george  michael tape but evelyn-my supposed fiancï¿½e-keeps buzzing  in my ear.
American Psycho,Bateman,39,  do...what.
American Psycho,Bateman,40,evelyn?
American Psycho,Bateman,41,is your evian spiked?
American Psycho,Bateman,42,no-i can't take the time off work.
American Psycho,Bateman,43,i don't want to talk about it.
American Psycho,Bateman,44,because i...want...to...fit...in.
American Psycho,Bateman,45,"  i'm on the verge of tears by the time we arrive at espace  since i'm positive we won't have a decent table, but we do,  and relief washes over me in an awesome wave."
American Psycho,Bateman,46,  hi. pat bateman.
American Psycho,Bateman,47,let me guess-you live in the east village?
American Psycho,Bateman,48," i am fairly sure that timothy and evelyn  are having an affair. timothy is the only interesting person i know. courtney is almost perfect looking. she s  usually operating on one or more psychiatric drugs. tonight  i believe it's xanax. more disturbing than her drug use,  though, is the fact that she's engaged to luis carruthers,  the biggest dufus in the business."
American Psycho,Bateman,49,"oh come on. price. there are a lot more important  problems than sri lanka to worry about. sure our foreign  policy is important, but there are more pressing problems  at hand."
American Psycho,Bateman,50,"well, we have to end apartheid for one. and slow  down the nuclear arms race, stop terrorism and world  hunger. but we can't ignore our social needs. either we  have to stop people from abusing the welfare system. we  have to provide food and shelter for the homeless and  oppose racial discrimination and promote civil rights while  also promoting equal rights for women but change the  abortion laws to protect the right to life yet still  somehow maintain women's freedom of choice."
American Psycho,Bateman,51,"we also have to control the influx of illegal  immigrants. we have to encourage a return to traditional  moral values and curb graphic sex and violence on tv, in  movies, in pop music, everywhere. most importantly we have  to promote general social concern and less materialism in  young people."
American Psycho,Bateman,52,why don t you just go for price?
American Psycho,Bateman,53,he's rich.
American Psycho,Bateman,54,he's good-looking.
American Psycho,Bateman,55,he has a great body
American Psycho,Bateman,56,no. i'm not. why should i ?
American Psycho,Bateman,57,it's not.
American Psycho,Bateman,58,hello.
American Psycho,Bateman,59,"listen, wait. you're not...shhh wait... you're not giving me valid reasons."
American Psycho,Bateman,60,what are you trying to say to me?
American Psycho,Bateman,61,bleach-ee? are you trying to say bleach-ee?  bleach-ee. oh my god.
American Psycho,Bateman,62,  two things. one. you can't bleach a soprani. out of the question.  two.   two. i can only get these sheets in santa fe. these are very  expensive sheets and i really need them clean.
American Psycho,Bateman,63,"if you don't shut your fucking mouth i will kill  you, are you understanding me?"
American Psycho,Bateman,64,"now listen-i have a very important lunch meeting    at hubert's in thirty minutes, and i need those  ...no wait, twenty minutes. i have a lunch meeting at  hubert's in twenty minutes with ronald harrison and i need  those sheets cleaned by this afternoon."
American Psycho,Bateman,65,this is crazy. you're a fool. i can't cope with  this.
American Psycho,Bateman,66,stupid bitchee! understand? oh christ!
American Psycho,Bateman,67,hello  
American Psycho,Bateman,68,well.
American Psycho,Bateman,69,then why can't they get these stains out? i mean can you talk  to these people or something? i'm not getting anywhere.
American Psycho,Bateman,70,"well, i mean, um, it s really...bosco. you  know, like... like a dove bar. it's a dove bar...hershey's syrup?"
American Psycho,Bateman,71,"listen, if you could talk to them    i would really appreciate it. i'm really late. i have a  lunch appointment at hubert's in fifteen minutes."
American Psycho,Bateman,72,"yeah, well, oh boy, listen, i've got to go. thank  you, uh... victoria?"
American Psycho,Bateman,73,"oh, i don't know, victoria. i'm at work all the  time."
American Psycho,Bateman,74,  next saturday?
American Psycho,Bateman,75,"oh, can't, i'm afraid. matinï¿½e of les miserables.  listen, i've really got to go. i'll-oh...christ...i'll call  you."
American Psycho,Bateman,76,"listen, what are you doing tonight?"
American Psycho,Bateman,77,"listen, you're dating luis, he's in arizona. you're fucking me,  and we haven't made plans. what could you possibly be up to  tonight?"
American Psycho,Bateman,78,on a lot of lithium?
American Psycho,Bateman,79,you should come have dinner with me. courtney  but-when?
American Psycho,Bateman,80,am i confused or were we talking about tonight?
American Psycho,Bateman,81,pumpkin?
American Psycho,Bateman,82,pumpkin you're dating an asshole.
American Psycho,Bateman,83,pumpkin you're dating the biggest dickweed in new  york.
American Psycho,Bateman,84,"pumpkin, you're dating a tumbling, tumbling  dickweed."
American Psycho,Bateman,85,courtney? dinner?
American Psycho,Bateman,86,i'm thinking dorsia.
American Psycho,Bateman,87,nice?
American Psycho,Bateman,88,"the question is do you like it, courtney? and will  you blow off a fucking phone call from your sad excuse for a  boyfriend to eat there tonight."
American Psycho,Bateman,89,eight?
American Psycho,Bateman,90,"sounds like i'll have to. don't fall asleep, okay? wear  something fabulous. dorsia, remember?"
American Psycho,Bateman,91,  umm...yes...i know it's a little late but is it possible to  reserve a table for two at eight or eight-thirty perhaps?
American Psycho,Bateman,92,is that donald trump's car?
American Psycho,Bateman,93,"you know, courtney, you should take some more  lithium. or have a diet coke. some caffeine might get you  out of this slump."
American Psycho,Bateman,94,j&b. straight.
American Psycho,Bateman,95,yes.
American Psycho,Bateman,96,"  yes, dear."
American Psycho,Bateman,97,"courtney, you're going to have the peanut butter  soup with smoked duck and mashed squash. new york magazine  called it a 'playful but mysterious little dish."" you'll  love it. and then...the red snapper with violets and  pine nuts. i think that'll follow nicely."
American Psycho,Bateman,98,"yes, luis is a despicable twit. i hate him."
American Psycho,Bateman,99,is it a what?
American Psycho,Bateman,100,i'm ignoring you.
American Psycho,Bateman,101," what do you want, courtney?"
American Psycho,Bateman,102,it's a plain end. i think.
American Psycho,Bateman,103,oh jesus. i'm going home.
American Psycho,Bateman,104,"it's a plain end, see? so?"
American Psycho,Bateman,105,why?
American Psycho,Bateman,106,"oh christ, this really isn't worth it. and see,  courtney, it's there for what? huh? tell us.    why is it pulled down half an inch?  so it can catch the force of the ejaculate!"
American Psycho,Bateman,107,"see? happy? you dumb bitch? are you happy, you dumb bitch?"
American Psycho,Bateman,108,"lucky, i guess."
American Psycho,Bateman,109,uh huh.
American Psycho,Bateman,110,  your compliment was sufficient luis.
American Psycho,Bateman,111,i've been great. and you?
American Psycho,Bateman,112,"  owen has mistaken me for this dickhead marcus halberstam.  it seems logical because marcus also works at p&p and in  fact does the same exact thing i do and he also has a  penchant for valentino suits and oliver peoples glasses.  marcus and i even go to the same barber, although i have  a slightly better haircut."
American Psycho,Bateman,113,  it's...it's...all right.
American Psycho,Bateman,114,"oh well, you know."
American Psycho,Bateman,115,oh yes. i'm very lucky.
American Psycho,Bateman,116,new card. what do you think?
American Psycho,Bateman,117,picked them up from the printers yesterday
American Psycho,Bateman,118,that's bone. and the lettering is something called  silian rail.
American Psycho,Bateman,119,  nice.
American Psycho,Bateman,120, i can't believe that price prefers mcdermott's card to mine.
American Psycho,Bateman,121,  impressive. very nice. let's see paul owen's card.
American Psycho,Bateman,122,"  look at that subtle off-white coloring. the tasteful thickness  of it. oh my god, it even has a watermark..."
American Psycho,Bateman,123, hello. pat bateman.
American Psycho,Bateman,124,you want some money?. some...food?
American Psycho,Bateman,125,is this what you need?
American Psycho,Bateman,126,"it's cold out, too, isn't it?"
American Psycho,Bateman,127,"  why don't you get a job? if you're so hungry, why don't you  get a job?"
American Psycho,Bateman,128,"why? were you drinking? is that why you lost it?  insider trading? just joking. no, really-were you drinking on  the job?"
