movie,character_name,line_num,line,line_no_punct
American Psycho,Bateman,0,"we're sitting in pastels, this nouvelle northern california  place on the upper east side.",we re sitting in pastels this nouvelle northern california place on the upper east side
American Psycho,Bateman,1,"you'll notice that my friends and i all look and behave in  a remarkably similar fashion, but there are subtle differences  between us. mcdermott is the biggest asshole. van  patten is the yes man. price is the most wired. i'm the  best looking. we all have light tans. right now i'm in a  bad mood because this is not a good table, and van patten  keeps asking dumb, obvious questions about how to dress .",you ll notice that my friends and i all look and behave in a remarkably similar fashion but there are subtle differences between us mcdermott is the biggest asshole van patten is the yes man price is the most wired i m the best looking we all have light tans right now i m in a bad mood because this is not a good table and van patten keeps asking dumb obvious questions about how to dress
American Psycho,Bateman,2,or can it be worn with a suit?,or can it be worn with a suit
American Psycho,Bateman,3,with discreet pinstripes you should wear a subdued blue or  charcoal gray vest. a plaid suit would cal i for a bolder  vest.,with discreet pinstripes you should wear a subdued blue or charcoal gray vest a plaid suit would cal i for a bolder vest
American Psycho,Bateman,4,van patten looks puffy. has he stopped working out?,van patten looks puffy has he stopped working out
American Psycho,Bateman,5,that's not paul owen. paul owen's on the other side of the room. over there.,that s not paul owen paul owen s on the other side of the room over there
American Psycho,Bateman,6,"oh jesus, mcdermott, what does that have to do with  anything?",oh jesus mcdermott what does that have to do with anything
American Psycho,Bateman,7,"you spin a dreidel, mcdermott, not a menorah.  you spin a dreidel.",you spin a dreidel mcdermott not a menorah you spin a dreidel
American Psycho,Bateman,8,no. just cool it with the anti-semitic remarks.,no just cool it with the anti semitic remarks
American Psycho,Bateman,9,"whoa, wait. may i ask where pamela is during all  this?",whoa wait may i ask where pamela is during all this
American Psycho,Bateman,10,"i'm not sure, guy, but i don't think dyslexia is a  virus.",i m not sure guy but i don t think dyslexia is a virus
American Psycho,Bateman,11,maybe it's just the light.,maybe it s just the light
American Psycho,Bateman,12,what?,what
American Psycho,Bateman,13,it's definitely weak but i have a feeling if we do  enough of it we'll be okay.,it s definitely weak but i have a feeling if we do enough of it we ll be okay
American Psycho,Bateman,14,calm down. let's do it anyway,calm down let s do it anyway
American Psycho,Bateman,15,that's the spirit.,that s the spirit
American Psycho,Bateman,16,two stoli on the rocks.,two stoli on the rocks
